municipio,tipo de crimen,año,trimestre,num_trimestre,conteo_predicho,modelo,nivel_confianza
Aranjuez,Agresión sexual con penetración,2026,Q3,3,2.7458041343984534,Gradient Boosting,Estándar
Aranjuez,Delitos contra la libertad sexual,2026,Q1,1,7.060702542919079,Gradient Boosting,Estándar
Aranjuez,Delitos contra la libertad sexual,2026,Q2,2,8.696263422154008,Gradient Boosting,Estándar
Aranjuez,Delitos contra la libertad sexual,2026,Q3,3,9.463217730693106,Gradient Boosting,Estándar
Aranjuez,Delitos graves y menos graves de lesiones y riña tumultuaria,2026,Q1,1,2.7458041343984534,Gradient Boosting,Estándar
Aranjuez,Delitos graves y menos graves de lesiones y riña tumultuaria,2026,Q2,2,2.271346604439703,Gradient Boosting,Estándar
Aranjuez,Delitos graves y menos graves de lesiones y riña tumultuaria,2026,Q3,3,2.7458041343984534,Gradient Boosting,Estándar
Aranjuez,Estafas informáticas,2026,Q1,1,100.12242190643434,Gradient Boosting,Estándar
Aranjuez,Estafas informáticas,2026,Q2,2,86.7710903288086,Gradient Boosting,Estándar
Aranjuez,Estafas informáticas,2026,Q3,3,84.95610501746168,Gradient Boosting,Estándar
Aranjuez,Homicidios dolosos y asesinatos consumados,2026,Q1,1,0.0,Mediana móvil 4,Alta incertidumbre
Aranjuez,Homicidios dolosos y asesinatos consumados,2026,Q2,2,0.0,Mediana móvil 4,Alta incertidumbre
Aranjuez,Homicidios dolosos y asesinatos consumados,2026,Q3,3,0.0,Mediana móvil 4,Alta incertidumbre
Aranjuez,Homicidios dolosos y asesinatos en grado tentativa,2026,Q1,1,0.5,Mediana móvil 4,Alta incertidumbre
Aranjuez,Homicidios dolosos y asesinatos en grado tentativa,2026,Q2,2,0.25,Mediana móvil 4,Alta incertidumbre
Aranjuez,Homicidios dolosos y asesinatos en grado tentativa,2026,Q3,3,0.375,Mediana móvil 4,Alta incertidumbre
Aranjuez,Hurtos,2026,Q1,1,185.98657335262632,Gradient Boosting,Estándar
Aranjuez,Hurtos,2026,Q2,2,191.4053018579039,Gradient Boosting,Estándar
Aranjuez,Hurtos,2026,Q3,3,169.42959580041833,Gradient Boosting,Estándar
Aranjuez,Otros ciberdelitos,2026,Q1,1,13.775137095300295,Gradient Boosting,Estándar
Aranjuez,Otros ciberdelitos,2026,Q2,2,14.397605589947588,Gradient Boosting,Estándar
Aranjuez,Otros ciberdelitos,2026,Q3,3,13.572001864622592,Gradient Boosting,Estándar
Aranjuez,Resto de criminalidad convencional,2026,Q1,1,421.37728519971904,Gradient Boosting,Estándar
Aranjuez,Resto de criminalidad convencional,2026,Q2,2,437.83946144238763,Gradient Boosting,Estándar
Aranjuez,Resto de criminalidad convencional,2026,Q3,3,444.6674259730366,Gradient Boosting,Estándar
Aranjuez,Resto de delitos contra la libertad sexual,2026,Q1,1,7.060702542919079,Gradient Boosting,Estándar
Aranjuez,Resto de delitos contra la libertad sexual,2026,Q2,2,6.430862175197474,Gradient Boosting,Estándar
Aranjuez,Resto de delitos contra la libertad sexual,2026,Q3,3,6.430862175197474,Gradient Boosting,Estándar
Aranjuez,Robos con fuerza en domicilios,2026,Q1,1,16.827538140762023,Gradient Boosting,Estándar
Aranjuez,Robos con fuerza en domicilios,2026,Q2,2,15.094257839160258,Gradient Boosting,Estándar
Aranjuez,Robos con fuerza en domicilios,2026,Q3,3,13.309505336191526,Gradient Boosting,Estándar
Aranjuez,"Robos con fuerza en domicilios, establecimientos y otras instalaciones",2026,Q1,1,28.060856809763486,Gradient Boosting,Estándar
Aranjuez,"Robos con fuerza en domicilios, establecimientos y otras instalaciones",2026,Q2,2,25.685222993642622,Gradient Boosting,Estándar
Aranjuez,"Robos con fuerza en domicilios, establecimientos y otras instalaciones",2026,Q3,3,24.982052554879825,Gradient Boosting,Estándar
Aranjuez,Robos con violencia e intimidación,2026,Q1,1,13.852270968338681,Gradient Boosting,Estándar
Aranjuez,Robos con violencia e intimidación,2026,Q2,2,13.852270968338681,Gradient Boosting,Estándar
Aranjuez,Robos con violencia e intimidación,2026,Q3,3,13.246598551742201,Gradient Boosting,Estándar
Aranjuez,Secuestro,2026,Q1,1,0.0,Mediana móvil 4,Alta incertidumbre
Aranjuez,Secuestro,2026,Q2,2,0.0,Mediana móvil 4,Alta incertidumbre
Aranjuez,Secuestro,2026,Q3,3,0.0,Mediana móvil 4,Alta incertidumbre
Aranjuez,Sustracciones de vehículos,2026,Q1,1,16.84773945306936,Gradient Boosting,Estándar
Aranjuez,Sustracciones de vehículos,2026,Q2,2,19.394703718310332,Gradient Boosting,Estándar
Aranjuez,Sustracciones de vehículos,2026,Q3,3,21.505702396662787,Gradient Boosting,Estándar
Aranjuez,Tráfico de drogas,2026,Q1,1,2.8057761853138805,Gradient Boosting,Estándar
Aranjuez,Tráfico de drogas,2026,Q2,2,2.7458041343984534,Gradient Boosting,Estándar
Aranjuez,Tráfico de drogas,2026,Q3,3,2.7458041343984534,Gradient Boosting,Estándar
Arganda del Rey,Agresión sexual con penetración,2026,Q1,1,0.9351298991881416,Gradient Boosting,Estándar
Arganda del Rey,Agresión sexual con penetración,2026,Q2,2,1.2787774837069321,Gradient Boosting,Estándar
Arganda del Rey,Agresión sexual con penetración,2026,Q3,3,0.9670588290504774,Gradient Boosting,Estándar
Arganda del Rey,Delitos contra la libertad sexual,2026,Q1,1,5.021387880765338,Gradient Boosting,Estándar
